,Буллиты,Дата,Команда_1,Команда_2,Номер,Овертайм,Период_1,Период_2,Период_3
0,:,2017-08-21,СКА,ЦСКА,1,:,2:0,1:1,1:1
1,:,2017-08-22,Сибирь,Спартак,2,:,0:0,2:1,1:0
2,:,2017-08-22,Авангард,Динамо Р,3,:,0:0,0:1,3:0
3,:,2017-08-22,Салават Юлаев,Адмирал,4,:,0:1,1:0,2:0
4,:,2017-08-22,Югра,Северсталь,5,1:0,0:1,1:0,0:0
5,:,2017-08-22,Нефтехимик,Амур,6,:,0:0,1:0,1:0
6,:,2017-08-22,ХК Сочи,Куньлунь РС,7,:,0:1,1:2,1:1
7,:,2017-08-23,Металлург Мг,Автомобилист,8,:,1:1,1:0,0:4
8,:,2017-08-23,Лада,Трактор,9,:,0:1,0:0,0:1
9,0:1,2017-08-23,Локомотив,ЦСКА,10,0:0,0:1,1:0,0:0
10,:,2017-08-23,Динамо Мн,Йокерит,11,:,0:2,1:0,0:4
11,:,2017-08-23,СКА,Слован,12,:,0:1,3:0,4:0
12,1:0,2017-08-23,ХК Динамо М,Витязь,13,0:0,2:1,0:2,1:0
13,:,2017-08-24,Сибирь,Динамо Р,14,:,0:0,1:1,1:0
14,:,2017-08-24,Авангард,Северсталь,15,1:0,0:0,0:0,0:0
15,:,2017-08-24,Барыс,Спартак,16,:,0:0,1:0,1:0
16,:,2017-08-24,Югра,Торпедо,17,:,0:1,0:1,1:1
17,:,2017-08-24,Ак Барс,Куньлунь РС,18,:,1:1,1:1,2:0
18,:,2017-08-24,Нефтехимик,Адмирал,19,:,1:1,2:1,0:0
19,1:0,2017-08-24,ХК Сочи,Амур,20,0:0,0:0,1:0,0:1
20,:,2017-08-25,Металлург Мг,Трактор,21,:,1:1,0:0,1:0
21,:,2017-08-25,Лада,Автомобилист,22,:,0:0,2:1,1:0
22,:,2017-08-25,Локомотив,Слован,23,:,3:1,1:0,1:0
23,:,2017-08-25,Динамо Мн,Витязь,24,:,0:1,0:0,0:0
24,:,2017-08-25,СКА,Йокерит,25,:,1:0,0:0,1:0
25,:,2017-08-25,ХК Динамо М,ЦСКА,26,:,0:0,1:5,0:1
26,:,2017-08-26,Сибирь,Северсталь,27,:,0:0,1:1,1:0
27,:,2017-08-26,Авангард,Торпедо,28,1:0,0:0,0:1,1:0
28,:,2017-08-26,Барыс,Динамо Р,29,:,0:3,1:1,2:1
29,:,2017-08-26,Салават Юлаев,Амур,30,:,0:2,2:1,2:2
30,:,2017-08-26,Югра,Спартак,31,:,0:2,1:1,1:3
31,:,2017-08-26,Ак Барс,Адмирал,32,:,0:0,1:0,3:1
32,:,2017-08-26,Нефтехимик,Куньлунь РС,33,:,0:0,2:1,0:0
33,:,2017-08-27,Трактор,Автомобилист,34,:,1:1,0:0,0:1
34,:,2017-08-27,Лада,Металлург Мг,35,:,2:1,0:2,2:2
35,:,2017-08-27,Локомотив,Йокерит,36,0:1,2:1,0:2,1:0
36,:,2017-08-27,Динамо Мн,ЦСКА,37,0:1,0:0,1:0,0:1
37,1:0,2017-08-27,СКА,Витязь,38,0:0,0:1,2:1,1:1
38,:,2017-08-27,ХК Динамо М,Слован,39,:,0:0,3:1,1:1
39,:,2017-08-28,Сибирь,Торпедо,40,:,1:0,1:1,0:2
40,:,2017-08-28,Авангард,Спартак,41,:,1:1,1:0,2:1
41,:,2017-08-28,Барыс,Северсталь,42,:,1:0,2:2,1:1
42,:,2017-08-28,Салават Юлаев,Куньлунь РС,43,:,0:0,0:0,1:2
43,:,2017-08-28,Югра,Динамо Р,44,0:1,1:0,1:0,0:2
44,:,2017-08-28,Ак Барс,Амур,45,:,0:0,0:0,2:1
45,:,2017-08-28,ХК Сочи,Адмирал,46,:,2:1,0:0,1:0
46,:,2017-08-29,Трактор,Металлург Мг,47,:,1:0,1:1,0:0
47,:,2017-08-29,Локомотив,Витязь,48,:,1:0,1:1,1:0
48,:,2017-08-29,Нефтехимик,Лада,49,:,0:0,1:0,0:3
49,1:0,2017-08-29,ХК Динамо М,Йокерит,50,0:0,0:0,1:0,0:1
50,:,2017-08-30,Барыс,Торпедо,51,:,1:0,1:1,2:1
51,:,2017-08-30,Слован,Динамо Мн,52,:,1:1,0:1,3:0
52,:,2017-08-31,Салават Юлаев,ХК Сочи,53,:,4:1,6:2,1:0
53,:,2017-08-31,Ак Барс,Лада,54,:,1:1,2:1,2:0
54,:,2017-08-31,Динамо Р,Спартак,55,:,0:0,0:0,1:3
55,:,2017-09-01,Трактор,Адмирал,56,:,0:1,2:1,0:1
56,:,2017-09-01,Автомобилист,Куньлунь РС,57,:,0:0,0:2,1:0
57,:,2017-09-01,Металлург Мг,Амур,58,:,1:2,0:1,1:0
58,:,2017-09-01,Витязь,Югра,59,:,1:1,0:1,1:1
59,:,2017-09-01,ЦСКА,Авангард,60,:,1:0,0:0,2:0
60,:,2017-09-01,Слован,Сибирь,61,:,0:1,2:0,0:0
61,:,2017-09-02,Ак Барс,ХК Сочи,62,:,0:0,0:1,0:4
62,0:1,2017-09-02,Торпедо,СКА,63,0:0,1:1,0:1,2:1
63,:,2017-09-02,Северсталь,Локомотив,64,:,2:1,1:0,0:1
64,1:0,2017-09-02,Спартак,Динамо Мн,65,0:0,0:0,0:0,0:0
65,:,2017-09-02,Динамо Р,ХК Динамо М,66,:,0:2,0:3,1:0
66,0:1,2017-09-03,Трактор,Куньлунь РС,67,0:0,3:0,1:3,0:1
67,:,2017-09-03,Салават Юлаев,Нефтехимик,68,:,1:0,1:0,4:0
68,:,2017-09-03,Автомобилист,Адмирал,69,:,2:1,0:0,2:0
69,1:0,2017-09-03,Металлург Мг,Барыс,70,0:0,1:0,1:1,0:1
70,:,2017-09-03,Лада,Амур,71,0:1,1:0,0:0,0:1
71,:,2017-09-03,Витязь,Авангард,72,:,3:1,3:0,0:1
72,:,2017-09-03,ЦСКА,Сибирь,73,:,3:0,0:0,0:1
73,0:1,2017-09-03,Слован,Югра,74,0:0,0:1,0:0,2:1
74,:,2017-09-04,Торпедо,ХК Динамо М,75,:,2:1,0:3,0:0
75,:,2017-09-04,Северсталь,Динамо Мн,76,:,1:0,0:0,1:1
76,:,2017-09-04,Спартак,СКА,77,:,0:2,0:2,0:1
77,:,2017-09-04,Динамо Р,Локомотив,78,:,1:1,0:0,0:1
78,1:0,2017-09-05,Трактор,Амур,79,0:0,1:1,3:2,0:1
79,:,2017-09-05,Салават Юлаев,Барыс,80,:,0:2,2:0,1:3
80,:,2017-09-05,Металлург Мг,Адмирал,81,:,1:0,3:2,0:0
81,:,2017-09-05,Лада,Куньлунь РС,82,:,0:1,0:0,0:1
82,:,2017-09-05,Витязь,Сибирь,83,:,0:1,1:1,0:0
83,:,2017-09-05,ХК Сочи,Нефтехимик,84,:,1:3,1:0,3:0
84,:,2017-09-05,ЦСКА,Югра,85,:,3:0,2:0,0:0
85,:,2017-09-05,Слован,Авангард,86,:,1:2,0:0,0:2
86,:,2017-09-06,Автомобилист,Ак Барс,87,:,0:2,2:0,1:0
87,:,2017-09-06,Торпедо,Локомотив,88,:,2:0,1:0,0:0
88,:,2017-09-06,Северсталь,ХК Динамо М,89,:,1:1,0:1,0:3
89,:,2017-09-06,Спартак,Йокерит,90,:,0:0,2:2,1:2
90,:,2017-09-06,ХК Сочи,Динамо Мн,91,:,1:0,1:2,0:2
91,:,2017-09-06,Динамо Р,СКА,92,:,0:1,1:1,0:1
92,:,2017-09-08,Югра,Ак Барс,93,:,0:3,2:1,0:0
93,:,2017-09-08,Автомобилист,Амур,94,:,1:1,4:0,3:0
94,:,2017-09-08,Лада,Металлург Мг,95,:,1:2,1:3,1:0
95,:,2017-09-08,Торпедо,Динамо Мн,96,:,1:0,1:1,0:0
96,:,2017-09-08,Витязь,Салават Юлаев,97,:,1:1,0:1,1:2
97,:,2017-09-08,Северсталь,СКА,98,:,1:3,1:2,0:2
98,:,2017-09-08,ЦСКА,ХК Динамо М,99,:,1:0,0:1,2:0
99,:,2017-09-08,Динамо Р,Барыс,100,:,0:2,0:4,0:0
100,:,2017-09-08,Слован,Нефтехимик,101,0:1,1:2,0:1,2:0
101,:,2017-09-09,Куньлунь РС,Йокерит,102,:,0:0,0:1,1:3
102,:,2017-09-10,Сибирь,Авангард,103,0:1,1:0,0:1,0:0
103,:,2017-09-10,Витязь,Барыс,104,:,1:0,0:2,0:3
104,1:0,2017-09-11,Адмирал,Слован,105,0:0,0:0,1:0,0:1
105,:,2017-09-11,Амур,Йокерит,106,:,2:2,0:2,0:0
106,:,2017-09-11,Куньлунь РС,ЦСКА,107,0:1,0:2,0:1,3:0
107,:,2017-09-11,Локомотив,Автомобилист,108,:,1:0,1:0,1:2
108,:,2017-09-11,Динамо Мн,Трактор,109,:,1:0,1:0,1:0
109,:,2017-09-11,Северсталь,ХК Сочи,110,:,1:0,0:0,0:0
110,:,2017-09-11,СКА,Лада,111,:,0:1,1:0,2:0
111,:,2017-09-11,ХК Динамо М,Металлург Мг,112,:,0:0,1:0,0:2
112,:,2017-09-12,Салават Юлаев,Динамо Р,113,:,0:0,1:0,1:1
113,:,2017-09-12,Югра,Авангард,114,:,0:2,0:3,0:2
114,:,2017-09-12,Ак Барс,Спартак,115,0:1,0:1,2:2,1:0
115,:,2017-09-12,Нефтехимик,Торпедо,116,0:1,1:0,1:2,0:0
116,:,2017-09-13,Адмирал,Йокерит,117,0:1,0:0,0:0,0:0
117,0:1,2017-09-13,Амур,ЦСКА,118,0:0,0:1,1:1,1:0
118,:,2017-09-13,Куньлунь РС,Слован,119,:,1:0,1:0,0:0
119,:,2017-09-13,Сибирь,Витязь,120,:,0:2,3:2,1:1
120,:,2017-09-13,Локомотив,Металлург Мг,121,1:0,1:1,1:1,0:0
121,:,2017-09-13,Динамо Мн,Лада,122,:,0:0,2:0,0:0
122,:,2017-09-13,СКА,Автомобилист,123,:,4:1,2:0,0:1
123,:,2017-09-13,ХК Динамо М,Трактор,124,:,0:2,0:1,1:1
124,:,2017-09-14,Салават Юлаев,Торпедо,125,:,0:1,0:0,2:0
125,:,2017-09-14,Ак Барс,Северсталь,126,1:0,0:0,1:0,0:1
126,:,2017-09-14,Нефтехимик,Спартак,127,:,0:1,1:0,1:0
127,:,2017-09-14,ХК Сочи,Динамо Р,128,:,1:1,1:0,3:0
128,:,2017-09-15,Адмирал,ЦСКА,129,:,1:1,2:0,0:0
