,Буллиты,Дата,Команда_1,Команда_2,Номер,Овертайм,Период_1,Период_2,Период_3
0,:,2013-09-04,ОХК Динамо М,Трактор,1,:,0:1,2:0,3:0
1,:,2013-09-05,Металлург Нк,Сибирь,2,:,1:1,2:0,0:1
2,:,2013-09-05,Атлант,Спартак,3,:,0:0,0:1,0:1
3,:,2013-09-05,Динамо Р,Динамо Мн,4,:,2:0,0:0,0:1
4,0:1,2013-09-06,Амур,Адмирал,5,0:0,0:0,2:2,1:1
5,:,2013-09-06,Авангард,СКА,6,:,1:1,0:4,0:0
6,:,2013-09-06,Югра,Локомотив,7,:,0:0,1:1,1:0
7,0:1,2013-09-06,Автомобилист,Северсталь,8,0:0,0:0,1:1,0:0
8,0:1,2013-09-06,Торпедо НН,Салават Юлаев,10,0:0,0:2,2:0,0:0
9,:,2013-09-06,Витязь,Трактор,11,:,3:0,1:2,1:1
10,:,2013-09-06,ОХК Динамо М,Металлург Мг,12,:,1:1,1:0,1:0
11,:,2013-09-06,Донбасс,Слован,13,:,1:0,1:1,2:1
12,:,2013-09-06,Медвешчак,ЦСКА,14,:,2:0,2:1,3:0
13,:,2013-09-06,Нефтехимик,Ак Барс,706,:,1:1,0:0,2:0
14,:,2013-09-08,Авангард,Локомотив,15,:,1:0,3:1,1:1
15,:,2013-09-08,Югра,Атлант,16,:,2:0,1:0,1:1
16,:,2013-09-08,Автомобилист,СКА,17,:,0:1,1:4,3:1
17,:,2013-09-08,Барыс,Северсталь,18,:,1:0,6:1,3:0
18,:,2013-09-08,Торпедо НН,Трактор,19,:,1:3,0:0,2:1
19,1:0,2013-09-08,Ак Барс,Салават Юлаев,20,0:0,2:0,0:2,1:1
20,:,2013-09-08,Витязь,Металлург Мг,21,:,3:2,1:1,0:2
21,:,2013-09-08,ОХК Динамо М,Нефтехимик,22,:,0:0,2:0,2:0
22,:,2013-09-08,Спартак,Слован,23,:,0:0,3:0,2:0
23,:,2013-09-08,Динамо Мн,ЦСКА,24,0:1,0:0,1:0,0:1
24,:,2013-09-08,Донбасс,Лев Пр,25,1:0,0:1,1:1,1:0
25,:,2013-09-08,Медвешчак,Динамо Р,26,:,0:1,1:1,0:3
26,:,2013-09-09,Металлург Нк,Амур,27,:,0:0,2:1,1:0
27,:,2013-09-09,Сибирь,Адмирал,28,:,0:0,1:1,2:1
28,1:0,2013-09-10,Авангард,Северсталь,29,0:0,2:0,1:1,0:2
29,:,2013-09-10,Югра,СКА,30,:,0:2,1:2,0:1
30,1:0,2013-09-10,Автомобилист,Атлант,31,0:0,0:1,2:0,0:1
31,:,2013-09-10,Барыс,Локомотив,32,:,2:2,0:1,3:0
32,:,2013-09-10,Ак Барс,Трактор,33,1:0,0:0,2:1,0:1
33,:,2013-09-10,Торпедо НН,Металлург Мг,34,:,0:0,3:0,2:0
34,:,2013-09-10,Витязь,Нефтехимик,35,:,1:0,0:0,0:0
35,:,2013-09-10,ОХК Динамо М,Салават Юлаев,36,:,2:1,1:0,1:0
36,:,2013-09-10,Спартак,Динамо Р,37,:,0:0,1:1,0:2
37,:,2013-09-10,Донбасс,ЦСКА,38,:,1:1,0:1,0:2
38,:,2013-09-10,Динамо Мн,Слован,39,:,0:0,0:0,2:0
39,:,2013-09-10,Медвешчак,Лев Пр,40,:,0:0,0:1,1:2
40,:,2013-09-11,Металлург Нк,Адмирал,41,0:1,0:0,1:0,0:1
41,1:0,2013-09-11,Сибирь,Амур,42,0:0,1:0,1:1,0:1
42,:,2013-09-12,Авангард,Атлант,43,:,2:2,1:1,1:0
43,:,2013-09-12,Барыс,СКА,44,:,1:2,0:3,1:0
44,:,2013-09-12,Югра,Северсталь,45,:,3:1,0:0,0:0
45,:,2013-09-12,Автомобилист,Локомотив,46,:,0:2,0:1,0:1
46,:,2013-09-12,Ак Барс,Металлург Мг,47,:,1:0,1:0,1:2
47,:,2013-09-12,Торпедо НН,Нефтехимик,48,:,0:1,0:1,0:0
48,:,2013-09-12,Витязь,Салават Юлаев,49,:,0:1,1:1,1:1
49,:,2013-09-12,Спартак,ЦСКА,50,:,0:1,2:0,1:1
50,:,2013-09-12,Донбасс,Динамо Р,51,:,1:2,0:1,1:1
51,:,2013-09-12,Динамо Мн,Лев Пр,52,:,0:1,1:2,0:0
52,:,2013-09-13,Медвешчак,Слован,53,0:1,1:1,2:0,0:2
53,:,2013-09-14,Барыс,Атлант,54,:,2:0,2:3,1:1
54,:,2013-09-14,Витязь,ОХК Динамо М,55,:,0:1,0:0,0:1
55,:,2013-09-14,Спартак,Лев Пр,56,:,1:1,2:2,1:0
56,1:0,2013-09-14,ЦСКА,Динамо Р,57,0:0,0:1,1:0,0:0
57,:,2013-09-15,Югра,Автомобилист,58,:,0:0,1:2,0:0
58,:,2013-09-15,Ак Барс,Авангард,594,:,3:0,1:0,2:0
59,:,2013-09-16,Металлург Мг,Металлург Нк,60,:,0:0,2:0,1:1
60,:,2013-09-16,Салават Юлаев,Амур,61,0:1,1:1,2:1,0:1
61,1:0,2013-09-16,Нефтехимик,Адмирал,62,0:0,1:1,2:2,2:2
62,:,2013-09-16,Локомотив,Донбасс,63,0:1,0:0,1:2,2:1
63,:,2013-09-16,Северсталь,Динамо Мн,64,:,2:1,1:0,1:1
64,:,2013-09-16,СКА,Медвешчак,65,:,1:0,1:0,1:0
65,:,2013-09-17,Барыс,Авангард,66,:,1:0,2:1,2:1
66,:,2013-09-17,ЦСКА,ОХК Динамо М,67,:,2:1,1:2,3:0
67,:,2013-09-17,Динамо Р,Ак Барс,68,:,0:1,0:2,1:0
