,Буллиты,Дата,Команда_1,Команда_2,Номер,Овертайм,Период_1,Период_2,Период_3
0,:,2015-08-24,СКА,ЦСКА,1,0:1,0:0,2:2,1:1
1,:,2015-08-25,Авангард,Салават Юлаев,2,:,0:1,3:0,1:1
2,:,2015-08-25,Барыс,Металлург Мг,3,:,1:0,0:0,0:2
3,:,2015-08-25,Йокерит,Северсталь,4,:,0:0,2:1,1:1
4,:,2015-08-25,Спартак,Динамо Мн,5,1:0,1:0,0:1,2:2
5,1:0,2015-08-25,Торпедо НН,Локомотив,6,0:0,1:0,0:1,1:1
6,:,2015-08-25,ХК Сочи,Лада,7,:,0:0,1:0,3:2
7,:,2015-08-25,Динамо Р,Ак Барс,8,:,0:0,1:1,2:0
8,1:0,2015-08-26,Трактор,Автомобилист,9,0:0,0:0,0:0,1:1
9,:,2015-08-26,Нефтехимик,Югра,10,:,1:0,0:0,1:1
10,1:0,2015-08-26,Витязь,Металлург Нк,11,0:0,0:1,1:0,0:0
11,:,2015-08-26,Динамо Мск,Сибирь,12,1:0,1:1,2:1,0:1
12,:,2015-08-26,Слован,Адмирал,13,:,0:1,1:1,0:1
13,0:1,2015-08-26,Медвешчак,Амур,14,0:0,0:0,2:2,0:0
14,0:1,2015-08-27,Авангард,Металлург Мг,15,0:0,0:2,2:0,1:1
15,:,2015-08-27,Барыс,Салават Юлаев,16,:,1:1,2:1,2:1
16,:,2015-08-27,Йокерит,Торпедо НН,17,:,1:0,1:1,3:0
17,:,2015-08-27,Локомотив,Лада,18,:,1:0,1:0,0:0
18,:,2015-08-27,СКА,Динамо Мн,19,:,1:0,0:1,1:0
19,:,2015-08-27,ХК Сочи,Ак Барс,20,:,0:0,0:1,0:0
20,:,2015-08-27,ЦСКА,Спартак,21,:,2:1,2:0,1:1
21,:,2015-08-27,Динамо Р,Северсталь,22,0:1,1:1,0:0,1:1
22,:,2015-08-28,Трактор,Югра,23,:,0:2,3:1,0:2
23,:,2015-08-28,Нефтехимик,Автомобилист,24,:,1:0,0:2,0:0
24,:,2015-08-28,Витязь,Сибирь,25,:,0:5,1:0,0:0
25,:,2015-08-28,Динамо Мск,Металлург Нк,26,:,1:1,1:1,2:1
26,:,2015-08-28,Слован,Амур,27,:,0:0,0:0,0:1
27,:,2015-08-28,Медвешчак,Адмирал,28,:,1:0,1:1,1:0
28,:,2015-08-29,Йокерит,ЦСКА,29,:,0:0,2:0,1:0
29,:,2015-08-29,Локомотив,Ак Барс,30,:,0:0,1:1,2:0
30,:,2015-08-29,СКА,Торпедо НН,31,:,1:2,0:0,0:1
31,:,2015-08-29,Спартак,Лада,32,:,0:1,1:1,0:1
32,:,2015-08-30,Металлург Мг,Автомобилист,33,:,0:2,1:0,0:0
33,:,2015-08-30,Салават Юлаев,Югра,34,:,3:0,1:2,0:0
34,:,2015-08-30,Трактор,Авангард,35,:,1:2,0:0,0:0
35,:,2015-08-30,Нефтехимик,Барыс,36,:,0:0,3:0,2:2
36,:,2015-08-30,Витязь,Адмирал,37,1:0,2:1,0:2,2:1
37,:,2015-08-30,Динамо Мн,Динамо Р,38,:,0:0,0:2,0:2
38,:,2015-08-30,Динамо Мск,Амур,39,:,3:0,4:1,0:1
39,:,2015-08-30,Слован,Металлург Нк,40,:,3:0,1:0,2:0
40,:,2015-08-30,Медвешчак,Сибирь,41,:,2:0,1:2,1:0
41,:,2015-08-31,Лада,Ак Барс,42,:,0:2,0:2,1:0
42,:,2015-08-31,Северсталь,СКА,43,:,0:1,0:0,0:2
43,:,2015-08-31,Спартак,Торпедо НН,44,:,1:0,1:4,0:1
44,:,2015-08-31,ХК Сочи,Локомотив,45,:,1:1,0:0,1:0
45,:,2015-09-01,Металлург Мг,Югра,46,:,1:0,2:1,3:1
46,:,2015-09-01,Салават Юлаев,Автомобилист,47,:,1:2,1:1,2:2
47,:,2015-09-01,Трактор,Барыс,48,:,1:0,1:0,0:1
