,Буллиты,Дата,Команда_1,Команда_2,Номер,Овертайм,Период_1,Период_2,Период_3
38,:,2016-08-29,Слован,Торпедо НН,39,:,0:1,1:2,6:1
39,:,2016-08-29,Медвешчак,ХК Сочи,40,1:0,0:1,2:0,0:1
40,:,2016-08-30,Югра,Салават Юлаев,41,:,0:0,2:1,0:2
41,0:1,2016-08-30,Северсталь,Лада,42,0:0,0:2,3:1,0:0
42,:,2016-08-30,ЦСКА,Нефтехимик,43,:,0:0,3:0,1:1
43,0:1,2016-08-30,СКА,Ак Барс,44,0:0,1:4,2:1,2:0
44,:,2016-08-31,Амур,Адмирал,45,:,1:1,2:0,0:0
45,:,2016-08-31,Автомобилист,Трактор,46,0:1,0:1,1:0,0:0
46,:,2016-08-31,Слован,ХК Сочи,47,:,2:0,0:0,1:1
47,:,2016-08-31,ОХК Динамо М,Металлург Нк,48,:,1:0,3:0,1:0
48,:,2016-08-31,Локомотив,Авангард,49,1:0,0:0,1:1,1:1
49,:,2016-08-31,Медвешчак,Торпедо НН,50,:,0:2,1:2,0:2
50,:,2016-09-01,Амур,Куньлунь РС,51,:,0:1,0:0,1:1
51,:,2016-09-01,Югра,Металлург Мг,52,:,0:1,1:0,1:0
52,:,2016-09-01,Северсталь,Нефтехимик,53,:,0:0,0:0,0:2
53,:,2016-09-01,ЦСКА,Ак Барс,54,:,1:1,0:1,3:0
54,1:0,2016-09-02,Автомобилист,Салават Юлаев,55,0:0,2:1,1:2,0:0
55,:,2016-09-02,СКА,Лада,56,:,2:1,1:0,2:0
56,:,2016-09-02,ОХК Динамо М,Сибирь,57,:,3:0,1:1,0:0
57,:,2016-09-02,Локомотив,Металлург Нк,58,:,1:0,0:0,0:0
58,:,2016-09-02,Витязь,Авангард,59,:,0:1,1:1,1:1
59,:,2016-09-02,Медвешчак,Спартак,60,:,0:0,0:0,0:1
60,1:0,2016-09-03,Югра,Трактор,61,0:0,1:1,0:0,0:0
61,:,2016-09-03,Северсталь,Ак Барс,62,0:1,1:0,0:1,1:1
62,:,2016-09-04,Металлург Мг,Амур,63,:,1:0,2:1,1:0
63,:,2016-09-04,Слован,Спартак,64,:,0:0,1:2,0:0
64,0:1,2016-09-04,ОХК Динамо М,Авангард,65,0:0,0:1,2:0,0:1
65,:,2016-09-04,ЦСКА,Лада,66,:,3:0,1:1,2:0
66,:,2016-09-04,Витязь,Металлург Нк,67,:,2:0,0:1,0:0
67,:,2016-09-04,СКА,Нефтехимик,68,:,0:0,3:0,2:1
68,:,2016-09-04,Торпедо НН,ХК Сочи,69,:,1:0,1:1,1:0
69,:,2016-09-05,Куньлунь РС,Адмирал,70,:,3:1,2:2,1:0
70,:,2016-09-05,Автомобилист,Югра,71,:,0:1,2:0,0:2
71,:,2016-09-05,Локомотив,Сибирь,72,:,2:1,0:0,1:0
72,:,2016-09-06,Трактор,Йокерит,73,:,0:1,1:0,0:1
73,0:1,2016-09-06,Салават Юлаев,Динамо Р,74,0:0,0:0,0:2,2:0
74,1:0,2016-09-06,Лада,ОХК Динамо М,75,0:0,1:0,0:1,0:0
75,1:0,2016-09-06,Нефтехимик,Медвешчак,76,0:0,0:1,1:1,1:0
76,:,2016-09-06,ХК Сочи,Амур,77,:,1:0,4:1,2:1
77,:,2016-09-06,Спартак,Динамо Мн,78,:,1:1,0:0,3:1
78,1:0,2016-09-06,Витязь,Северсталь,79,0:0,1:1,0:0,0:0
79,:,2016-09-06,Ак Барс,ЦСКА,80,:,0:0,1:2,0:1
80,:,2016-09-08,Металлург Мг,Динамо Р,81,:,1:0,0:1,1:0
81,:,2016-09-08,Салават Юлаев,Йокерит,82,:,0:0,1:1,1:2
82,0:1,2016-09-08,Лада,Локомотив,83,0:0,1:1,0:1,1:0
83,1:0,2016-09-08,Нефтехимик,Витязь,84,0:0,0:0,1:1,0:0
84,:,2016-09-08,Спартак,Адмирал,85,:,0:0,1:2,0:0
85,:,2016-09-08,Торпедо НН,Амур,86,0:1,0:0,0:0,0:0
86,:,2016-09-08,Ак Барс,ОХК Динамо М,87,:,1:0,0:1,3:0
87,:,2016-09-09,Сибирь,Медвешчак,88,:,0:0,2:0,1:0
88,:,2016-09-09,Металлург Нк,Слован,89,:,1:0,1:0,0:1
89,:,2016-09-09,Барыс,Югра,90,:,1:1,2:1,0:0
90,:,2016-09-09,ЦСКА,СКА,91,:,1:0,1:1,0:0
91,:,2016-09-10,Металлург Мг,Йокерит,92,:,0:0,1:0,2:1
92,:,2016-09-10,Салават Юлаев,Динамо Мн,93,:,0:0,0:1,1:1
93,:,2016-09-10,Нефтехимик,ОХК Динамо М,94,:,1:2,0:1,0:0
94,:,2016-09-10,Спартак,Амур,95,:,1:0,0:0,0:0
95,:,2016-09-10,Торпедо НН,Куньлунь РС,96,:,1:0,2:0,0:1
96,1:0,2016-09-10,Ак Барс,Витязь,97,0:0,0:0,2:1,0:1
97,:,2016-09-10,ХК Сочи,Адмирал,98,:,2:1,3:2,1:2
98,:,2016-09-11,Сибирь,Югра,99,:,2:0,2:1,3:0
99,:,2016-09-11,Металлург Нк,Медвешчак,100,:,1:2,1:0,1:3
100,:,2016-09-11,Трактор,Динамо Р,101,:,0:0,1:0,2:0
101,:,2016-09-11,Авангард,Слован,102,:,0:2,1:1,2:1
102,:,2016-09-11,Барыс,Автомобилист,103,:,2:1,0:3,1:0
103,:,2016-09-11,ЦСКА,Северсталь,104,:,2:2,3:0,0:0
104,:,2016-09-12,Трактор,Динамо Мн,105,:,0:0,1:1,1:2
105,:,2016-09-12,Лада,Витязь,106,:,1:0,2:0,0:0
106,1:0,2016-09-12,Нефтехимик,Амур,107,0:0,1:0,0:0,0:1
107,:,2016-09-12,ХК Сочи,Куньлунь РС,108,:,1:1,2:0,0:0
108,0:1,2016-09-12,Торпедо НН,Адмирал,109,0:0,2:1,0:1,0:0
109,:,2016-09-12,Ак Барс,Локомотив,110,:,0:1,0:0,0:1
110,1:0,2016-09-13,Сибирь,Слован,111,0:0,2:1,0:1,0:0
111,:,2016-09-13,Авангард,Медвешчак,112,:,1:1,1:0,2:0
112,:,2016-09-13,Металлург Мг,Динамо Мн,113,:,0:1,1:2,4:1
113,:,2016-09-13,СКА,Северсталь,114,:,2:0,1:0,1:0
114,:,2016-09-13,Динамо Р,Йокерит,115,:,0:0,1:0,0:3
115,:,2016-09-14,Салават Юлаев,Адмирал,116,:,1:0,3:0,0:2
116,1:0,2016-09-14,Автомобилист,Барыс,117,0:0,1:0,1:0,0:2
117,:,2016-09-14,Югра,Металлург Нк,118,:,0:0,1:0,0:0
118,:,2016-09-14,Нефтехимик,Локомотив,119,:,0:1,0:0,2:0
119,:,2016-09-15,Амур,Куньлунь РС,120,:,0:1,2:0,1:0
120,:,2016-09-15,Трактор,Металлург Мг,121,:,1:2,3:1,1:0
121,:,2016-09-15,Ак Барс,Авангард,122,:,0:0,0:0,1:0
122,:,2016-09-15,Динамо Мн,Динамо Р,123,1:0,0:0,1:0,0:1
123,:,2016-09-15,ОХК Динамо М,ХК Сочи,124,:,0:0,1:0,0:2
124,:,2016-09-15,Витязь,Спартак,125,:,1:1,3:1,1:0
125,:,2016-09-16,Автомобилист,ЦСКА,126,:,0:2,2:1,0:1
126,:,2016-09-16,Барыс,СКА,127,:,3:2,0:0,0:3
127,1:0,2016-09-16,Югра,Северсталь,128,0:0,0:0,0:1,1:0
128,:,2016-09-16,Локомотив,Торпедо НН,129,0:1,0:0,1:0,0:1
129,:,2016-09-17,Трактор,Салават Юлаев,130,:,1:1,3:0,0:1
130,:,2016-09-17,Витязь,ХК Сочи,131,:,4:0,0:2,0:1
131,:,2016-09-17,Динамо Мн,Металлург Нк,132,:,1:1,0:0,3:1
132,1:0,2016-09-17,Слован,Медвешчак,133,0:0,2:0,0:1,0:1
133,0:1,2016-09-17,Йокерит,Авангард,134,0:0,1:1,1:1,1:1
134,0:1,2016-09-17,Спартак,ОХК Динамо М,135,0:0,2:1,0:0,0:1
135,:,2016-09-17,Динамо Р,Сибирь,136,:,3:2,0:1,0:1
136,:,2016-09-18,Амур,Ак Барс,137,:,0:1,2:1,1:0
137,:,2016-09-18,Куньлунь РС,Лада,139,:,0:1,2:0,2:1
138,:,2016-09-18,Барыс,Северсталь,140,:,1:0,1:0,0:1
139,:,2016-09-18,Югра,ЦСКА,141,:,0:1,0:1,0:0
140,:,2016-09-18,Локомотив,Торпедо НН,142,:,0:0,0:2,0:1
141,1:0,2016-09-19,Автомобилист,СКА,143,0:0,0:1,2:0,0:1
142,:,2016-09-19,Динамо Мн,Авангард,144,:,0:1,1:0,0:1
143,:,2016-09-19,Йокерит,Сибирь,145,:,0:1,0:1,0:2
144,:,2016-09-19,Динамо Р,Металлург Нк,146,:,1:0,3:1,1:0
145,:,2016-09-20,Амур,Лада,147,:,0:0,0:0,1:0
146,0:1,2016-09-20,Адмирал,Ак Барс,148,0:0,2:1,1:1,0:1
147,:,2016-09-20,Куньлунь РС,Нефтехимик,149,:,1:0,0:1,1:0
148,:,2016-09-20,Металлург Мг,Слован,150,:,1:2,1:0,2:0
149,:,2016-09-20,Салават Юлаев,ХК Сочи,151,:,1:0,0:3,0:0
150,:,2016-09-20,Барыс,ЦСКА,152,:,1:0,1:0,2:0
151,:,2016-09-20,Локомотив,Спартак,153,:,0:0,4:2,2:1
152,:,2016-09-20,Витязь,Торпедо НН,154,:,2:0,1:0,0:0
153,:,2016-09-21,Трактор,Медвешчак,155,:,0:0,1:0,2:0
154,:,2016-09-21,Автомобилист,Северсталь,156,:,2:1,0:3,0:0
155,:,2016-09-21,Югра,СКА,157,:,1:0,1:2,0:2
156,:,2016-09-21,Динамо Мн,Сибирь,158,1:0,1:3,3:1,0:0
157,:,2016-09-21,Йокерит,Металлург Нк,159,:,4:0,1:0,0:1
158,:,2016-09-21,Динамо Р,Авангард,160,:,0:0,1:2,0:0
159,:,2016-09-22,Амур,Нефтехимик,161,:,1:0,2:0,1:1
160,:,2016-09-22,Адмирал,Лада,162,:,5:0,0:2,0:0
161,:,2016-09-22,Куньлунь РС,Ак Барс,163,:,1:2,1:0,0:1
162,:,2016-09-22,Салават Юлаев,Слован,164,:,1:1,3:1,2:1
163,:,2016-09-22,ОХК Динамо М,Торпедо НН,165,:,0:1,0:0,0:0
164,:,2016-09-23,Металлург Мг,Медвешчак,166,:,1:1,4:0,1:0
165,:,2016-09-23,Витязь,Сибирь,167,1:0,1:1,0:1,1:0
166,:,2016-09-23,СКА,Югра,168,:,4:1,3:0,2:3
167,1:0,2016-09-23,Йокерит,ЦСКА,169,0:0,1:1,1:1,0:0
168,:,2016-09-23,ХК Сочи,Локомотив,170,:,2:0,0:2,0:1
169,:,2016-09-24,Трактор,Слован,171,:,0:1,1:2,0:0
170,:,2016-09-24,Авангард,Металлург Нк,172,:,2:0,2:2,0:0
171,:,2016-09-24,ОХК Динамо М,Динамо Мн,173,:,0:1,0:0,0:2
172,0:1,2016-09-25,Салават Юлаев,Медвешчак,174,0:0,2:1,1:2,1:1
173,:,2016-09-25,Лада,Динамо Р,175,:,2:0,1:0,1:0
174,:,2016-09-25,Северсталь,Куньлунь РС,176,:,1:0,1:0,0:0
175,1:0,2016-09-25,Нефтехимик,Йокерит,177,0:0,0:0,1:0,1:2
176,:,2016-09-25,ЦСКА,Адмирал,178,:,0:0,1:0,2:0
177,:,2016-09-25,Спартак,Барыс,179,:,1:3,1:0,3:1
178,:,2016-09-25,СКА,Амур,180,:,1:0,2:0,1:1
179,:,2016-09-25,Торпедо НН,Югра,181,:,1:0,2:1,0:0
180,1:0,2016-09-25,ХК Сочи,Автомобилист,182,0:0,0:0,0:0,0:0
181,:,2016-09-26,Авангард,Металлург Мг,183,:,1:1,0:1,0:1
182,:,2016-09-26,ОХК Динамо М,Локомотив,184,1:0,1:0,0:3,2:0
183,:,2016-09-26,Ак Барс,Динамо Мн,185,:,2:1,1:0,0:4
184,1:0,2016-09-27,Сибирь,Трактор,186,0:0,1:0,0:0,0:1
185,:,2016-09-27,Металлург Нк,Салават Юлаев,187,:,0:0,0:1,0:2
186,:,2016-09-27,Авангард,Металлург Мг,188,:,0:2,0:0,0:1
187,:,2016-09-27,Северсталь,Амур,189,:,1:1,0:0,1:0
188,:,2016-09-27,ЦСКА,Куньлунь РС,190,:,1:0,0:0,2:0
189,:,2016-09-27,Спартак,Югра,191,:,1:1,1:1,0:1
190,1:0,2016-09-27,СКА,Адмирал,192,0:0,0:0,2:0,0:2
191,:,2016-09-27,Торпедо НН,Автомобилист,193,:,1:1,0:0,1:0
192,:,2016-09-27,ХК Сочи,Барыс,194,:,2:2,0:2,1:2
193,:,2016-09-28,Лада,Динамо Мн,195,:,1:0,0:1,1:2
194,:,2016-09-28,Нефтехимик,Динамо Р,196,:,2:0,1:1,0:0
195,:,2016-09-28,Ак Барс,Йокерит,197,:,1:0,1:1,2:1
196,:,2016-09-28,ОХК Динамо М,Витязь,198,:,1:0,1:0,1:0
197,:,2016-09-29,Сибирь,Металлург Мг,199,:,0:2,0:0,0:1
198,:,2016-09-29,Металлург Нк,Трактор,200,:,0:1,0:0,1:1
199,:,2016-09-29,Авангард,Салават Юлаев,201,:,1:2,1:2,0:1
200,:,2016-09-29,Северсталь,Адмирал,202,:,1:0,1:1,0:0
201,:,2016-09-29,ХК Сочи,Югра,203,:,0:1,0:0,2:0
202,0:1,2016-09-29,ЦСКА,Амур,204,0:0,0:0,1:1,0:0
203,:,2016-09-29,Спартак,Автомобилист,205,:,1:0,1:0,1:0
204,:,2016-09-29,СКА,Куньлунь РС,206,:,1:0,1:0,1:0
205,:,2016-09-29,Торпедо НН,Барыс,207,1:0,1:0,0:0,1:2
206,:,2016-09-30,Лада,Йокерит,208,:,0:1,2:0,3:1
207,:,2016-09-30,Нефтехимик,Динамо Мн,209,:,1:2,1:2,0:0
208,:,2016-09-30,Локомотив,Витязь,210,:,1:0,1:1,1:0
209,:,2016-09-30,Ак Барс,Динамо Р,211,:,0:1,2:0,0:0
210,:,2016-09-30,Медвешчак,Слован,212,:,2:0,4:0,0:0
211,:,2016-10-01,Сибирь,Салават Юлаев,213,:,0:0,1:1,0:1
212,1:0,2016-10-01,Металлург Нк,Металлург Мг,214,0:0,1:0,3:2,0:2
213,:,2016-10-01,Авангард,Трактор,215,:,1:0,1:0,1:1
214,:,2016-10-01,Северсталь,ОХК Динамо М,216,:,0:0,1:0,1:1
215,:,2016-10-01,Спартак,Куньлунь РС,217,:,0:0,0:1,0:0
216,:,2016-10-02,Слован,ЦСКА,218,0:1,0:1,1:0,0:0
217,:,2016-10-02,Йокерит,Локомотив,219,:,0:1,3:1,1:1
218,:,2016-10-02,Медвешчак,СКА,220,1:0,2:1,1:1,1:2
219,:,2016-10-03,Автомобилист,Ак Барс,221,:,0:1,1:1,0:2
220,:,2016-10-03,Барыс,Нефтехимик,222,:,1:1,2:3,2:0
221,:,2016-10-03,Югра,Лада,223,:,0:1,2:0,2:0
222,:,2016-10-03,Динамо Р,ОХК Динамо М,224,:,0:3,1:1,1:0
223,:,2016-10-04,Амур,Спартак,225,:,0:0,2:1,1:0
224,:,2016-10-04,Адмирал,Торпедо НН,226,:,1:0,3:2,1:0
225,:,2016-10-04,Куньлунь РС,ХК Сочи,227,:,0:1,0:0,2:0
226,:,2016-10-04,Металлург Нк,Сибирь,228,:,0:0,1:0,2:2
227,1:0,2016-10-04,Металлург Мг,Салават Юлаев,229,0:0,1:0,1:2,0:0
228,:,2016-10-04,Динамо Мн,Локомотив,230,:,1:0,0:0,1:0
229,:,2016-10-04,Слован,СКА,231,:,0:1,0:2,0:3
230,0:1,2016-10-04,Йокерит,Витязь,232,0:0,1:1,1:2,1:0
231,:,2016-10-04,Медвешчак,ЦСКА,233,:,0:0,1:3,1:2
232,:,2016-10-05,Автомобилист,Лада,234,:,1:1,2:1,0:2
233,:,2016-10-05,Барыс,Ак Барс,235,:,0:1,0:1,0:2
234,:,2016-10-05,Югра,Нефтехимик,236,:,0:1,0:1,0:0
235,:,2016-10-05,Йокерит,ОХК Динамо М,237,:,0:0,0:2,1:0
236,:,2016-10-06,Амур,Торпедо НН,238,:,0:0,0:1,0:0
237,:,2016-10-06,Адмирал,ХК Сочи,239,:,1:0,0:0,0:0
238,:,2016-10-06,Куньлунь РС,Спартак,240,:,1:0,0:2,3:0
239,1:0,2016-10-06,Авангард,Сибирь,241,0:0,1:1,0:0,0:0
240,:,2016-10-06,Металлург Мг,Трактор,242,:,0:2,2:0,2:1
241,:,2016-10-06,СКА,ЦСКА,243,:,1:0,0:0,1:0
242,:,2016-10-06,Динамо Мн,Витязь,244,0:1,0:1,1:1,1:0
243,:,2016-10-06,Слован,Северсталь,245,:,1:0,0:2,2:0
244,1:0,2016-10-06,Динамо Р,Локомотив,246,0:0,2:2,0:0,0:0
245,:,2016-10-07,Автомобилист,Нефтехимик,247,:,2:1,1:0,0:1
246,:,2016-10-07,Барыс,Лада,248,:,0:1,1:3,1:0
247,:,2016-10-07,Югра,Ак Барс,249,:,2:1,0:2,1:3
248,:,2016-10-08,Амур,ХК Сочи,250,:,1:1,0:0,2:1
249,:,2016-10-08,Адмирал,Спартак,251,:,2:0,2:1,2:2
250,:,2016-10-08,Куньлунь РС,Торпедо НН,252,:,0:2,2:1,0:1
251,:,2016-10-08,Сибирь,Металлург Нк,253,1:0,1:1,0:1,1:0
252,:,2016-10-08,Салават Юлаев,Трактор,254,:,1:0,1:1,0:0
253,:,2016-10-08,СКА,Йокерит,255,:,2:0,2:0,2:0
254,:,2016-10-08,Динамо Мн,ОХК Динамо М,256,:,2:0,0:0,0:0
255,:,2016-10-08,Медвешчак,Северсталь,258,:,2:1,4:1,1:1
256,:,2016-10-09,Динамо Р,Витязь,257,:,2:0,2:0,0:0
257,:,2016-10-09,ЦСКА,Авангард,259,0:1,0:0,0:0,1:1
258,:,2016-10-10,Металлург Мг,Автомобилист,260,:,2:0,2:0,2:0
259,:,2016-10-10,Локомотив,Слован,261,0:1,0:2,0:0,2:0
260,:,2016-10-10,СКА,Динамо Мн,262,:,4:0,1:1,1:1
261,:,2016-10-10,ОХК Динамо М,Медвешчак,263,:,2:0,2:1,1:0
262,:,2016-10-11,Трактор,Барыс,264,:,1:1,0:2,2:1
263,:,2016-10-11,Салават Юлаев,Югра,265,:,0:1,0:2,2:0
264,:,2016-10-11,Лада,Куньлунь РС,266,:,1:1,1:1,0:1
265,:,2016-10-11,Северсталь,Динамо Р,267,:,3:1,0:2,1:0
266,:,2016-10-11,Нефтехимик,Адмирал,268,:,0:1,1:2,0:0
267,:,2016-10-11,ХК Сочи,Металлург Нк,269,:,1:1,0:1,2:0
268,:,2016-10-11,ЦСКА,Йокерит,270,:,1:0,1:3,1:3
269,:,2016-10-11,Спартак,Авангард,271,:,0:0,0:2,2:1
270,:,2016-10-11,Торпедо НН,Сибирь,272,:,0:0,1:1,0:2
271,:,2016-10-11,Ак Барс,Амур,273,:,1:0,1:0,0:1
272,:,2016-10-12,Витязь,Медвешчак,274,:,0:1,2:1,1:0
273,:,2016-10-12,ОХК Динамо М,Слован,275,:,1:2,2:2,0:1
274,:,2016-10-13,Металлург Мг,Барыс,276,:,0:1,0:0,3:0
275,:,2016-10-13,Салават Юлаев,Автомобилист,277,:,3:0,1:1,1:0
276,:,2016-10-13,Трактор,Югра,278,:,0:2,0:0,0:0
277,:,2016-10-13,Лада,Амур,279,:,3:0,1:1,1:0
278,:,2016-10-13,Северсталь,Йокерит,280,1:0,1:1,2:0,0:2
279,:,2016-10-13,Нефтехимик,Куньлунь РС,281,:,1:0,3:0,0:3
280,:,2016-10-13,Ак Барс,Адмирал,282,:,1:0,0:0,2:0
281,:,2016-10-13,ЦСКА,Динамо Мн,283,:,2:1,3:0,2:1
282,:,2016-10-13,ХК Сочи,Сибирь,284,:,2:0,2:1,2:1
283,:,2016-10-13,Спартак,Металлург Нк,285,:,1:0,0:2,1:1
284,:,2016-10-13,СКА,Динамо Р,286,:,0:0,1:0,3:1
285,:,2016-10-13,Торпедо НН,Авангард,287,:,0:1,2:1,1:0
286,:,2016-10-14,Локомотив,Медвешчак,288,:,2:0,0:1,0:0
287,:,2016-10-14,Витязь,Слован,289,:,2:0,0:0,1:2
288,:,2016-10-15,Трактор,Автомобилист,290,:,1:1,1:0,1:1
289,:,2016-10-15,Металлург Мг,Югра,291,0:1,0:0,1:1,1:1
290,:,2016-10-15,Салават Юлаев,Барыс,292,:,0:1,2:0,3:1
291,:,2016-10-15,Лада,Адмирал,293,:,1:1,1:0,0:2
292,0:1,2016-10-15,Северсталь,Динамо Мн,294,0:0,2:0,0:2,1:1
293,1:0,2016-10-15,Спартак,Сибирь,295,0:0,0:0,0:1,1:0
294,:,2016-10-15,Торпедо НН,Металлург Нк,296,:,2:1,4:0,0:0
295,:,2016-10-15,Ак Барс,Куньлунь РС,297,:,0:0,0:0,2:0
296,:,2016-10-15,ХК Сочи,Авангард,298,:,0:0,1:0,1:1
297,:,2016-10-15,ЦСКА,Динамо Р,299,:,1:1,1:1,1:0
298,:,2016-10-16,СКА,Витязь,300,:,3:0,1:1,1:0
299,0:1,2016-10-17,Амур,Салават Юлаев,301,0:0,2:1,1:2,1:1
300,:,2016-10-17,Авангард,ЦСКА,302,:,1:1,1:1,0:1
301,:,2016-10-17,Слован,Нефтехимик,303,:,0:2,1:2,1:1
302,:,2016-10-17,Йокерит,Торпедо НН,304,:,1:1,2:0,1:0
303,:,2016-10-17,ХК Сочи,Динамо Мн,305,1:0,1:0,0:1,0:0
304,0:1,2016-10-17,Динамо Р,Спартак,306,0:0,0:0,1:1,0:0
305,:,2016-10-17,Медвешчак,Ак Барс,307,:,1:1,0:0,1:0
306,:,2016-10-18,Сибирь,СКА,308,0:1,0:0,1:1,0:0
307,:,2016-10-18,Металлург Нк,Северсталь,309,:,1:1,0:1,0:0
308,:,2016-10-18,Автомобилист,Локомотив,310,:,1:2,1:1,1:3
309,:,2016-10-18,Барыс,ОХК Динамо М,311,:,1:0,0:0,0:0
310,:,2016-10-18,Югра,Витязь,312,:,0:0,1:1,0:1
311,:,2016-10-19,Амур,Трактор,313,:,2:2,1:0,1:0
312,:,2016-10-19,Адмирал,Металлург Мг,314,:,2:0,1:0,0:0
313,:,2016-10-19,Куньлунь РС,Салават Юлаев,315,:,1:0,2:2,0:0
314,:,2016-10-19,Динамо Мн,Спартак,316,:,0:1,0:1,1:3
315,:,2016-10-19,Слован,Ак Барс,317,1:0,0:0,1:0,0:1
316,:,2016-10-19,Йокерит,ХК Сочи,318,0:1,1:0,1:1,0:1
317,0:1,2016-10-19,Динамо Р,Торпедо НН,319,0:0,0:0,1:0,0:1
318,:,2016-10-19,Медвешчак,Нефтехимик,320,:,3:0,0:0,1:1
319,1:0,2016-10-20,Сибирь,ЦСКА,321,0:0,0:0,2:1,0:1
320,:,2016-10-20,Металлург Нк,СКА,322,:,0:0,0:5,0:1
321,:,2016-10-20,Авангард,Северсталь,323,:,2:0,1:1,2:1
322,1:0,2016-10-20,Автомобилист,ОХК Динамо М,324,0:0,1:1,1:0,0:1
323,:,2016-10-20,Барыс,Витязь,325,:,2:0,3:0,0:0
324,:,2016-10-20,Югра,Локомотив,326,:,0:1,0:0,0:0
325,:,2016-10-21,Амур,Металлург Мг,327,:,1:1,0:3,0:1
326,0:1,2016-10-21,Адмирал,Салават Юлаев,328,0:0,0:1,1:1,1:0
327,:,2016-10-21,Куньлунь РС,Трактор,329,:,1:1,0:1,1:1
328,1:0,2016-10-21,Динамо Мн,Торпедо НН,330,0:0,0:0,1:0,1:2
329,:,2016-10-21,Слован,Лада,331,:,0:2,2:0,1:0
330,:,2016-10-21,Йокерит,Спартак,332,:,1:0,1:0,1:2
331,0:1,2016-10-21,Динамо Р,ХК Сочи,333,0:0,1:1,1:0,0:1
332,:,2016-10-22,Сибирь,Северсталь,334,:,1:1,1:1,0:2
333,:,2016-10-22,Металлург Нк,ЦСКА,335,:,1:0,1:3,0:1
334,0:1,2016-10-22,Авангард,СКА,336,0:0,0:1,0:1,2:0
335,:,2016-10-22,Автомобилист,Витязь,337,:,1:0,0:0,1:1
336,:,2016-10-22,Барыс,Локомотив,338,:,1:2,0:2,0:4
337,:,2016-10-22,Югра,ОХК Динамо М,339,:,0:1,0:0,0:0
338,:,2016-10-22,Ак Барс,Нефтехимик,340,:,1:0,1:1,1:0
339,:,2016-10-23,Адмирал,Трактор,341,:,0:1,0:0,0:0
340,:,2016-10-23,Куньлунь РС,Металлург Мг,342,:,1:2,0:2,0:1
341,:,2016-10-23,Динамо Мн,ХК Сочи,343,:,2:0,2:0,1:2
342,:,2016-10-23,Медвешчак,Лада,344,:,0:0,2:0,1:2
