,Буллиты,Дата,Команда_1,Команда_2,Номер,Овертайм,Период_1,Период_2,Период_3
0,:,2016-08-22,Металлург Мг,ЦСКА,1,:,2:1,1:1,0:0
1,:,2016-08-23,Сибирь,Автомобилист,2,:,1:2,0:2,2:1
2,:,2016-08-23,Металлург Нк,Барыс,3,:,2:0,0:2,2:0
3,:,2016-08-23,Трактор,СКА,4,1:0,1:0,0:1,0:0
4,:,2016-08-23,Авангард,Югра,5,:,0:0,1:0,0:0
5,:,2016-08-23,Салават Юлаев,Северсталь,6,:,1:0,1:1,1:1
6,:,2016-08-23,Лада,Медвешчак,7,:,1:1,1:0,0:2
7,:,2016-08-23,Ак Барс,Слован,8,:,0:0,2:1,0:0
8,:,2016-08-23,ХК Сочи,Динамо Р,9,:,3:0,0:1,0:0
9,:,2016-08-23,Спартак,Йокерит,10,:,0:0,1:0,0:2
10,:,2016-08-24,Амур,Локомотив,11,:,0:0,0:1,0:0
11,0:1,2016-08-24,Адмирал,ОХК Динамо М,12,0:0,0:1,2:1,1:1
12,:,2016-08-25,Сибирь,Барыс,13,:,1:0,1:1,3:0
13,:,2016-08-25,Металлург Нк,Югра,14,:,0:0,0:5,1:2
14,:,2016-08-25,Авангард,Автомобилист,15,:,1:0,1:0,1:1
15,:,2016-08-25,Лада,Слован,16,:,2:0,0:0,3:2
16,1:0,2016-08-25,Северсталь,Металлург Мг,17,0:0,1:1,1:0,0:1
17,:,2016-08-25,СКА,Салават Юлаев,18,:,2:0,3:0,2:1
18,:,2016-08-25,Торпедо НН,Динамо Р,19,:,0:0,1:0,1:0
19,0:1,2016-08-25,Ак Барс,Нефтехимик,20,0:0,0:0,0:0,1:1
20,:,2016-08-25,ХК Сочи,Йокерит,21,:,2:1,0:1,1:0
21,:,2016-08-25,ЦСКА,Трактор,22,:,0:0,2:0,1:0
22,:,2016-08-26,Амур,ОХК Динамо М,23,:,0:1,0:1,2:1
23,0:1,2016-08-26,Адмирал,Локомотив,24,0:0,0:2,3:1,0:0
24,:,2016-08-26,Ак Барс,Медвешчак,25,:,0:1,0:2,1:0
25,:,2016-08-27,Адмирал,Витязь,26,:,3:1,1:0,1:3
26,:,2016-08-27,Сибирь,Югра,27,:,1:0,1:0,0:0
27,:,2016-08-27,Металлург Нк,Автомобилист,28,:,0:2,1:3,1:0
28,:,2016-08-27,Авангард,Барыс,29,:,0:0,2:0,1:1
29,:,2016-08-27,Северсталь,Трактор,30,:,1:1,0:1,1:5
30,:,2016-08-27,ЦСКА,Салават Юлаев,31,:,1:1,2:0,0:0
31,:,2016-08-27,Спартак,Динамо Р,32,:,0:2,2:1,2:0
32,:,2016-08-27,СКА,Металлург Мг,33,:,0:1,1:1,3:0
33,:,2016-08-27,Торпедо НН,Йокерит,34,:,0:0,2:1,1:0
34,:,2016-08-28,Лада,Нефтехимик,35,:,0:1,2:0,1:0
35,:,2016-08-29,Амур,Витязь,36,:,1:1,0:1,0:1
36,:,2016-08-29,Автомобилист,Металлург Мг,37,:,0:0,0:0,2:0
37,:,2016-08-29,Локомотив,ОХК Динамо М,38,:,1:1,0:2,1:0
